full-dataset-jeroen_chunk0_split0| Het klopt wel een beetje. Ik vond het wel grappig dat het eindigt met depressieve destructieve momenten.
full-dataset-jeroen_chunk0_split1| Ik zat even te denken of ik vind dat er genoeg genoemd is en zo, maar ik geloof het wel.
full-dataset-jeroen_chunk1| Ik ben ehm...
full-dataset-jeroen_chunk2_split0| Ik denk daarover naast, als er zo'n hele reeks verhaal over je verteld wordt, dan ga je natuurlijk inderdaad...
full-dataset-jeroen_chunk2_split1| En het eindigde met depressief destructief dus ik dacht, even kijken wat daar van waar is. En dat is wel een stukje van waar inderdaad. Die momenten zijn er inderdaad zeker.
full-dataset-jeroen_chunk3_split0| Soms heb ik periodes dat ik ongeveer iedere dag stop.
full-dataset-jeroen_chunk4_split0| Met een paar pleisters enzovoort. Maar ik ben er nog niet los van. Ik rook wel heel veel minder nu. Dat is echt wel de afgelopen maanden zelfs zo.
full-dataset-jeroen_chunk5| Dit kan wel. Er zijn heel veel opera zangers die zingen.
full-dataset-jeroen_chunk6_split0| Maar nee, ik doe het ook echt wel voor mijn gezondheid. Ik merk het echt aan mijn stem.
full-dataset-jeroen_chunk7| Dus ik moet... Ja, ik wil er toch wel van af.
full-dataset-jeroen_chunk8| Het is ook wel genoeg in gezondheid.
full-dataset-jeroen_chunk9| Ik merk het nu echt aan mijn conditie. Snel. En het verschilt ook heel snel als je......allemaal naar een beek niet roken.
full-dataset-jeroen_chunk10| Dat zijn dan de gekke zenuwen voor zo'n heel lang interview dat wij nu gaan doen.
full-dataset-jeroen_chunk11| Hmm... Nee. Niet... Nee, niet noodzakelijk. Wordt ook nog weleens gevraagd. Misschien gaat je het er ook natuurlijk voor een rol...
full-dataset-jeroen_chunk12_split0| Het is uiteindelijk ook voor de spreekstem beter. Het is voor je stem gewoon. Je zakt gewoon.
full-dataset-jeroen_chunk12_split1|
full-dataset-jeroen_chunk13_split0| Dat zou kunnen, ja. Dat zou kunnen.
full-dataset-jeroen_chunk14| Toen werd ik 30, dus toen dacht ik, ik stop.
full-dataset-jeroen_chunk16| Ik heb hem ook een keer moeten helpen met stoppen. Toen heb ik dat pakje......ben ik zelf gaan zoeken wat hij had weggegooid zodat ik daar zelf weer nog iets aan kon hebben.
full-dataset-jeroen_chunk17| Als hij rookte, deed ik dat dan ook, want dat vond ik heel stoer, mannelijk en schaam er goed uit.
full-dataset-jeroen_chunk18_split0| Ik vond het wel een heel zware sigaret hoor. En ik vond het... Ik vond eigenlijk de checkjes die ik met mijn vriendjes draaide...
full-dataset-jeroen_chunk19_split0| Mijn vader is heel vroeg gestorven. Op zijn 52 is hij gestorven aan alvleeskierkanker. En de laatste tien jaar van zijn leven was hij al heel veel ziek.
full-dataset-jeroen_chunk20_split0| Ook aan zijn heft is het twee keer geopereerd aan zijn nieren.
full-dataset-jeroen_chunk20_split1| En ja, God, het is tegenwoordig natuurlijk zo dat...
full-dataset-jeroen_chunk21| 15 was ik eh...
full-dataset-jeroen_chunk22| Ik denk dat ik nogal in de verlegenheid geschoten ben in de puberteit.
full-dataset-jeroen_chunk23| Als jonger beneden de tien weet ik uit de verhalen van mijn moeder dat ik een erg open en enthousiast, vrolijk kind was, altijd op straat en spelen.
full-dataset-jeroen_chunk24| Met andere kinderen ja. En bij elk nieuw overhemd dat ik kreeg, belde ik de hele buurt aan om dat te laten zien.
full-dataset-jeroen_chunk25| Ik heb een nieuw hemd, ik heb een nieuwe blouse of een nieuwe broek.
full-dataset-jeroen_chunk26_split0| Nou, zo heb ik het niet......heb ik het niet......over nagedacht toen natuurlijk, maar eh...
full-dataset-jeroen_chunk27| Dat weet ik eigenlijk niet, ik kan dat niet zo heel goed herinneren.
full-dataset-jeroen_chunk28| Ik vermoed dat die buren allemaal heel beleefd...
full-dataset-jeroen_chunk29| Ehm... Ja...
full-dataset-jeroen_chunk30| Wat een mooi jongetje.
full-dataset-jeroen_chunk31| Ja, weet ik niet.
full-dataset-jeroen_chunk32| Dat ik een leuk jongetje was.
full-dataset-jeroen_chunk33_split0| Ja, dat zou kunnen. Gelukkig heb ik daar nooit zo heel erg... Of gelukkig? Ook wel soms jammer. Ik weet dat ik er wel leuk uit zie, maar ik ben niet zo...
